Filename,"Relative Frequency of NOUN (per 10,000 words)","Relative Frequency of VERB (per 10,000 words)","Relative Frequency of ADJ (per 10,000 words)","Relative Frequency of ADV (per 10,000 words)",Unique PER,Unique LOC,Unique ORG
0107.b6.txt,1736.9093231162196,1213.2822477650063,881.2260536398467,408.6845466155811,0,0,0
0137.b6.txt,1748.9986648865151,1255.0066755674234,907.8771695594127,534.045393858478,0,0,0
0151.b6.txt,1516.2907268170425,1328.3208020050124,676.6917293233082,563.9097744360902,0,0,0
0157.b6.txt,1215.4696132596684,1395.0276243093924,704.4198895027624,635.3591160220994,0,0,0
0158.b6.txt,1522.491349480969,1257.2087658592848,749.7116493656287,657.4394463667819,0,0,0
0178.b6.txt,1752.9039070749736,1119.324181626188,897.571277719113,559.662090813094,0,0,0
0185.b6.txt,1609.1954022988505,1307.471264367816,747.1264367816093,416.66666666666663,0,0,0
0198.b6.txt,1542.9403202328967,1193.5953420669578,727.8020378457059,451.23726346433773,0,0,0
0219.b6.txt,1687.5871687587169,1311.0181311018132,516.0390516039051,376.5690376569038,0,0,0
0223.b6.txt,1706.102117061021,1207.970112079701,684.931506849315,635.1183063511832,0,0,0
0238.b6.txt,1384.863123993559,1417.0692431561995,805.1529790660226,418.67954911433173,0,0,0
0318.b6.txt,1754.9019607843136,980.3921568627451,852.9411764705883,450.98039215686276,0,0,0
