Filename,"Relative Frequency of NOUN (per 10,000 words)","Relative Frequency of VERB (per 10,000 words)","Relative Frequency of ADJ (per 10,000 words)","Relative Frequency of ADV (per 10,000 words)",Unique PER,Unique LOC,Unique ORG
2034.a5.txt,1714.939024390244,884.1463414634146,609.7560975609756,373.4756097560975,0,8,13
2035.a5.txt,1801.8720748829953,889.2355694227768,663.0265210608425,468.01872074883,0,0,0
2036.a5.txt,1816.7701863354039,1125.776397515528,621.1180124223603,442.54658385093165,0,0,4
2039.a5.txt,1277.4294670846396,987.4608150470219,736.6771159874608,423.1974921630094,0,2,4
2040.a5.txt,2001.7108639863131,975.1924721984602,846.8776732249786,333.61847733105213,0,0,7
2045.a5.txt,1915.4676258992806,1034.1726618705036,737.410071942446,323.7410071942446,0,2,2
2048.a5.txt,1478.978978978979,765.7657657657658,1036.036036036036,322.82282282282284,0,1,5
2049.a5.txt,2249.208025343189,1129.8838437170011,1098.2048574445616,337.909186906019,0,1,0
2050.a5.txt,1669.407894736842,871.7105263157894,682.5657894736842,460.52631578947364,0,5,9
2058.a5.txt,1436.251920122888,937.0199692780338,622.1198156682028,345.6221198156682,0,2,5
2066.a5.txt,2134.7248576850093,1148.0075901328273,844.4022770398482,275.1423149905123,0,3,0
2071.a5.txt,2283.9072382290933,1061.1384399156711,892.4806746310611,400.56219255094874,0,0,1
2075.a5.txt,1990.1585565882995,814.6528157463094,623.2914160743576,415.52761071623837,0,6,4
